,country,year,longitude,latitude,population_density
0,South Africa,2011,37.79458318397868,-46.979582924344,0.0
1,South Africa,2011,37.802916517278675,-46.979582924344,0.0
2,South Africa,2011,37.81124985057868,-46.979582924344,0.0
3,South Africa,2011,37.81958318387868,-46.979582924344,0.0
4,South Africa,2011,37.82791651717868,-46.979582924344,0.0
5,South Africa,2011,37.83624985047868,-46.979582924344,0.0
6,South Africa,2011,37.84458318377868,-46.979582924344,0.0
7,South Africa,2011,37.619583184678675,-46.971249591044,0.0
8,South Africa,2011,37.62791651797868,-46.971249591044,0.0
9,South Africa,2011,37.63624985127868,-46.971249591044,0.0
10,South Africa,2011,37.64458318457868,-46.971249591044,0.0
11,South Africa,2011,37.65291651787868,-46.971249591044,0.0
12,South Africa,2011,37.66124985117868,-46.971249591044,0.0
13,South Africa,2011,37.66958318447868,-46.971249591044,0.0
14,South Africa,2011,37.67791651777868,-46.971249591044,0.0
15,South Africa,2011,37.68624985107868,-46.971249591044,0.0
16,South Africa,2011,37.70291651767868,-46.971249591044,0.0
17,South Africa,2011,37.711249850978675,-46.971249591044,0.0
18,South Africa,2011,37.71958318427868,-46.971249591044,0.0
19,South Africa,2011,37.72791651757868,-46.971249591044,0.0
20,South Africa,2011,37.73624985087868,-46.971249591044,0.0
21,South Africa,2011,37.74458318417868,-46.971249591044,0.0
22,South Africa,2011,37.79458318397868,-46.971249591044,0.0
23,South Africa,2011,37.802916517278675,-46.971249591044,0.0
24,South Africa,2011,37.81124985057868,-46.971249591044,0.0
25,South Africa,2011,37.81958318387868,-46.971249591044,0.0
26,South Africa,2011,37.82791651717868,-46.971249591044,0.0
27,South Africa,2011,37.83624985047868,-46.971249591044,0.0
28,South Africa,2011,37.84458318377868,-46.971249591044,0.0
29,South Africa,2011,37.85291651707868,-46.971249591044,0.0
30,South Africa,2011,37.86124985037868,-46.971249591044,0.0
31,South Africa,2011,37.59458318477868,-46.962916257744,0.0
32,South Africa,2011,37.60291651807868,-46.962916257744,0.0
33,South Africa,2011,37.61124985137868,-46.962916257744,0.0
34,South Africa,2011,37.619583184678675,-46.962916257744,0.0
35,South Africa,2011,37.62791651797868,-46.962916257744,0.0
36,South Africa,2011,37.63624985127868,-46.962916257744,0.0
37,South Africa,2011,37.64458318457868,-46.962916257744,0.0
38,South Africa,2011,37.65291651787868,-46.962916257744,0.0
39,South Africa,2011,37.66124985117868,-46.962916257744,0.0
40,South Africa,2011,37.66958318447868,-46.962916257744,0.0
41,South Africa,2011,37.67791651777868,-46.962916257744,0.0
42,South Africa,2011,37.68624985107868,-46.962916257744,0.0
43,South Africa,2011,37.69458318437868,-46.962916257744,0.0
44,South Africa,2011,37.70291651767868,-46.962916257744,0.0
45,South Africa,2011,37.711249850978675,-46.962916257744,0.0
46,South Africa,2011,37.71958318427868,-46.962916257744,0.0
47,South Africa,2011,37.72791651757868,-46.962916257744,0.0
48,South Africa,2011,37.73624985087868,-46.962916257744,0.0
49,South Africa,2011,37.74458318417868,-46.962916257744,0.0
50,South Africa,2011,37.75291651747868,-46.962916257744,0.0
51,South Africa,2011,37.76124985077868,-46.962916257744,0.0
52,South Africa,2011,37.76958318407868,-46.962916257744,0.0
53,South Africa,2011,37.77791651737868,-46.962916257744,0.0
54,South Africa,2011,37.78624985067868,-46.962916257744,0.0
55,South Africa,2011,37.79458318397868,-46.962916257744,0.0
56,South Africa,2011,37.802916517278675,-46.962916257744,0.0
57,South Africa,2011,37.81124985057868,-46.962916257744,0.0
58,South Africa,2011,37.81958318387868,-46.962916257744,0.0
59,South Africa,2011,37.82791651717868,-46.962916257744,0.0
60,South Africa,2011,37.83624985047868,-46.962916257744,0.0
61,South Africa,2011,37.84458318377868,-46.962916257744,0.0
62,South Africa,2011,37.85291651707868,-46.962916257744,0.0
63,South Africa,2011,37.86124985037868,-46.962916257744,0.0
64,South Africa,2011,37.58624985147868,-46.954582924444,0.0
65,South Africa,2011,37.59458318477868,-46.954582924444,0.0
66,South Africa,2011,37.60291651807868,-46.954582924444,0.0
67,South Africa,2011,37.61124985137868,-46.954582924444,0.0
68,South Africa,2011,37.619583184678675,-46.954582924444,0.0
69,South Africa,2011,37.62791651797868,-46.954582924444,0.0
70,South Africa,2011,37.63624985127868,-46.954582924444,0.0
71,South Africa,2011,37.64458318457868,-46.954582924444,0.0
72,South Africa,2011,37.65291651787868,-46.954582924444,0.0
73,South Africa,2011,37.66124985117868,-46.954582924444,0.0
74,South Africa,2011,37.66958318447868,-46.954582924444,0.0
75,South Africa,2011,37.67791651777868,-46.954582924444,0.0
76,South Africa,2011,37.68624985107868,-46.954582924444,0.0
77,South Africa,2011,37.69458318437868,-46.954582924444,0.0
78,South Africa,2011,37.70291651767868,-46.954582924444,0.0
79,South Africa,2011,37.711249850978675,-46.954582924444,0.0
80,South Africa,2011,37.71958318427868,-46.954582924444,0.0
81,South Africa,2011,37.72791651757868,-46.954582924444,0.0
82,South Africa,2011,37.73624985087868,-46.954582924444,0.0
83,South Africa,2011,37.74458318417868,-46.954582924444,0.0
84,South Africa,2011,37.75291651747868,-46.954582924444,0.0
85,South Africa,2011,37.76124985077868,-46.954582924444,0.0
86,South Africa,2011,37.76958318407868,-46.954582924444,0.0
87,South Africa,2011,37.77791651737868,-46.954582924444,0.0
88,South Africa,2011,37.78624985067868,-46.954582924444,0.0
89,South Africa,2011,37.79458318397868,-46.954582924444,0.0
90,South Africa,2011,37.802916517278675,-46.954582924444,0.0
91,South Africa,2011,37.81124985057868,-46.954582924444,0.0
92,South Africa,2011,37.81958318387868,-46.954582924444,0.0
93,South Africa,2011,37.82791651717868,-46.954582924444,0.0
94,South Africa,2011,37.83624985047868,-46.954582924444,0.0
95,South Africa,2011,37.84458318377868,-46.954582924444,0.0
96,South Africa,2011,37.85291651707868,-46.954582924444,0.0
97,South Africa,2011,37.86124985037868,-46.954582924444,0.0
98,South Africa,2011,37.86958318367868,-46.954582924444,0.0
99,South Africa,2011,37.58624985147868,-46.946249591144,0.0
